home_team,away_team,home_rank,away_rank,rank_diff,goal_diff,stage_encoded,winner
Al Ahly,Auckland City,8,15,-7,3,1,1.0
Seattle Sounders,Al Ahly,10,8,2,-1,2,0.0
Wydad Casablanca,Al Hilal,12,7,5,0,2,0.5
Flamengo,Al Hilal,4,7,-3,-1,3,0.0
Real Madrid,Al Ahly,1,8,-7,3,3,1.0
Flamengo,Al Ahly,4,8,-4,2,4,1.0
Real Madrid,Al Hilal,1,7,-6,2,5,1.0
Al Jazira,AS Pirae,14,16,-2,3,1,1.0
Al Ahly,Monterrey,8,9,-1,1,2,1.0
Al Hilal,Al Jazira,7,14,-7,5,2,1.0
Palmeiras,Al Ahly,5,8,-3,2,3,1.0
Chelsea,Al Hilal,2,7,-5,1,3,1.0
Al Ahly,Al Hilal,8,7,1,4,4,1.0
Chelsea,Palmeiras,2,5,-3,1,5,1.0
Tigres UANL,Ulsan Hyundai,6,11,-5,1,2,1.0
Al Duhail,Al Ahly,13,8,5,-1,2,0.0
Palmeiras,Tigres UANL,5,6,-1,-1,3,0.0
Bayern Munich,Al Ahly,3,8,-5,2,3,1.0
Al Ahly,Palmeiras,8,5,3,0,4,0.5
Bayern Munich,Tigres UANL,3,6,-3,1,5,1.0
Al Ittihad,Auckland City,18,15,3,3,1,1.0
Al Ahly,Al Ittihad,8,18,-10,2,2,1.0
Leon,Urawa Red Diamonds,17,19,-2,1,2,1.0
Manchester City,Urawa Red Diamonds,20,19,1,3,3,1.0
Fluminense,Al Ahly,21,8,13,2,3,1.0
Al Ahly,Urawa Red Diamonds,8,19,-11,2,4,1.0
Manchester City,Fluminense,20,21,-1,4,5,1.0
